Date,Home,Away,Location,Winner
1.5194772,12,11,Marijampolės futbolo arenos maniežas,0.0
1.5194844,10,0,„Sportima“,1.0
1.5195636,8,5,Klaipėdos dirbtinės dangos st.,0.5
1.5195816,14,6,„Sportima“,0.0
1.520082,6,10,LFF Kauno treniruočių centro st.,1.0
1.5200892,12,8,Marijampolės futbolo arenos maniežas,0.0
1.5201684,5,0,Marijampolės futbolo arenos maniežas,0.5
1.5201828,11,14,Marijampolės futbolo arenos maniežas,0.5
1.5204456,0,6,Klaipėdos dirbtinės dangos st.,1.0
1.520451,10,11,„Sportima“,0.5
1.520532,12,5,Marijampolės futbolo arenos maniežas,0.0
1.5205374,14,8,„Sportima“,0.0
1.520964,8,10,Klaipėdos dirbtinės dangos st.,0.5
1.5210504,11,0,LFF Kauno treniruočių centro st.,1.0
1.5210576,12,14,Marijampolės futbolo arenos maniežas,0.5
1.5212916,5,6,Jonavos dirbtinės dangos st.,1.0
1.521396,10,8,„Sportima“,0.0
1.5224328,0,8,Klaipėdos dirbtinės dangos st.,0.5
1.5224382,14,5,„Sportima“,1.0
1.5225012,10,12,„Sportima“,1.0
1.5225012,6,11,LFF Kauno treniruočių centro st.,1.0
1.5228648,11,5,LFF Kauno treniruočių centro st.,0.0
1.5229512,8,6,Klaipėdos dirbtinės dangos st.,0.0
1.5229584,12,0,Marijampolės futbolo arenos maniežas,0.0
1.523106,14,10,LFF stadionas,0.0
1.5234696,0,14,Klaipėdos dirbtinės dangos st.,1.0
1.5234768,11,8,LFF Kauno treniruočių centro st.,1.0
1.523556,12,6,Marijampolės futbolo arenos maniežas,0.0
1.5235632,10,5,LFF stadionas,0.5
1.523988,5,8,Jonavos dirbtinės dangos st.,0.0
1.5239952,11,12,LFF Kauno treniruočių centro st.,1.0
1.5240744,0,10,Klaipėdos dirbtinės dangos st.,1.0
1.5240816,6,14,LFF Kauno treniruočių centro st.,0.5
1.524402,14,11,LFF stadionas,0.5
1.5245928,8,12,Klaipėdos dirbtinės dangos st.,1.0
1.5246,10,6,LFF stadionas,0.0
1.5246792,0,5,Klaipėdos dirbtinės dangos st.,0.0
1.5249204,8,14,Klaipėdos dirbtinės dangos st.,1.0
1.5249204,5,12,Jonavos dirbtinės dangos st.,0.5
1.5250068,6,0,LFF Kauno treniruočių centro st.,1.0
1.5250248,11,10,LFF Kauno treniruočių centro st.,1.0
1.525284,8,10,Palangos m. stadionas,0.0
1.5252912,14,12,LFF stadionas,1.0
1.5253704,6,5,Dariaus ir Girėno stadionas,0.0
1.5253776,0,11,Klaipėdos m. centrinis stadionas,0.5
1.5256332,12,10,Marijampolės futbolo arenos stadionas,0.5
1.5258024,11,6,Dariaus ir Girėno stadionas,1.0
1.5258096,5,14,Jonavos dirbtinės dangos st.,1.0
1.5258888,8,0,Palangos m. stadionas,1.0
1.52613,0,12,Klaipėdos m. centrinis stadionas,1.0
1.52613,10,14,LFF stadionas,1.0
1.5262164,5,11,Jonavos m. stadionas,1.0
1.5262344,6,8,Dariaus ir Girėno stadionas,0.5
1.5264936,5,10,Jonavos m. stadionas,0.5
1.5264936,8,11,Palangos m. stadionas,1.0
1.5267348,14,0,LFF stadionas,0.0
1.5268212,10,5,LFF stadionas,0.0
1.527012,12,11,Marijampolės futbolo arenos stadionas,0.0
1.5270984,6,14,Dariaus ir Girėno stadionas,1.0
1.5271056,10,0,LFF stadionas,1.0
1.5271848,8,5,Palangos m. stadionas,0.0
1.5289992,6,10,Dariaus ir Girėno stadionas,0.5
1.5290856,5,0,Jonavos m. stadionas,0.0
1.529154,8,12,Palangos m. stadionas,1.0
1.529154,14,11,LFF stadionas,1.0
1.5294312,11,10,Dariaus ir Girėno stadionas,0.0
1.5295176,14,8,LFF stadionas,0.0
1.5295248,12,5,Marijampolės futbolo arenos stadionas,0.0
1.5301224,5,6,Jonavos m. stadionas,1.0
1.5301296,12,14,Marijampolės futbolo arenos stadionas,1.0
1.5304716,6,12,Dariaus ir Girėno stadionas,1.0
1.5306408,11,8,Dariaus ir Girėno stadionas,0.0
1.5307272,6,12,Dariaus ir Girėno stadionas,0.0
1.5333876,12,0,Marijampolės futbolo arenos stadionas,0.0
1.5333876,5,11,Jonavos m. stadionas,1.0
1.5336648,8,6,Palangos m. stadionas,1.0
1.5339924,6,11,Dariaus ir Girėno stadionas,1.0
1.5339924,8,0,Palangos m. stadionas,0.0
1.5340788,5,10,Jonavos m. stadionas,1.0
1.534356,0,6,Klaipėdos m. centrinis stadionas,1.0
1.5345972,5,8,Jonavos m. stadionas,0.0
1.5346836,0,10,Klaipėdos m. centrinis stadionas,1.0
1.5347016,14,6,LFF stadionas,0.0
1.5349608,11,14,Dariaus ir Girėno stadionas,1.0
1.534968,0,5,Klaipėdos m. centrinis stadionas,0.5
1.5350544,10,6,LFF stadionas,0.0
1.535202,11,0,Dariaus ir Girėno stadionas,0.0
1.5354792,6,0,Dariaus ir Girėno stadionas,0.0
1.5355656,8,14,Palangos m. stadionas,1.0
1.5355728,10,11,LFF stadionas,0.5
1.5370164,12,8,Marijampolės futbolo arenos stadionas,0.0
1.53738,6,5,Dariaus ir Girėno stadionas,0.5
1.5373872,0,11,Klaipėdos m. centrinis stadionas,1.0
1.5374664,10,8,LFF stadionas,0.0
1.53756,14,12,LFF stadionas,0.0
1.5376356,11,6,Dariaus ir Girėno stadionas,0.5
1.5378984,0,8,Klaipėdos m. centrinis stadionas,0.5
1.5379812,5,14,Jonavos m. stadionas,1.0
1.537992,12,10,Marijampolės futbolo arenos stadionas,0.5
1.5382368,10,12,LFF stadionas,1.0
1.5386688,11,5,Dariaus ir Girėno stadionas,0.0
1.538676,0,12,Klaipėdos m. centrinis stadionas,1.0
1.5386832,10,14,LFF stadionas,0.0
1.5387552,6,8,Dariaus ir Girėno stadionas,0.0
1.5389172,0,14,Klaipėdos m. centrinis stadionas,1.0
1.5389172,11,12,LFF Kauno treniruočių centro st.,1.0
1.5397992,14,5,LFF stadionas,0.0
1.5401268,14,10,LFF stadionas,0.5
1.5401268,5,12,Jonavos m. stadionas,1.0
1.5403968,8,11,Palangos m. stadionas,1.0
1.540404,12,6,Marijampolės futbolo arenos stadionas,0.0
1.540404,14,0,LFF stadionas,0.0
1.5407316,10,14,LFF stadionas,1.0
1.5407316,6,12,LFF Kauno treniruočių centro st.,0.5
1.540746,11,0,LFF Kauno treniruočių centro st.,0.0
1.5410088,0,6,Klaipėdos dirbtinės dangos st.,1.0
1.5410088,12,10,Marijampolės futbolo arenos stadionas,0.0
1.541016,14,11,LFF stadionas,0.0
1.54125,10,6,LFF stadionas,0.0
1.54125,11,12,LFF Kauno treniruočių centro st.,1.0
1.541268,14,0,LFF stadionas,0.5
1.5416136,11,10,LFF Kauno treniruočių centro st.,1.0
1.5416136,14,6,LFF stadionas,0.0
1.5416208,12,0,Marijampolės futbolo arenos stadionas,0.0
1.5419412,12,14,Marijampolės futbolo arenos stadionas,1.0
1.5419412,0,10,Klaipėdos dirbtinės dangos st.,1.0
1.5419412,6,11,LFF Kauno treniruočių centro st.,1.0
1.5515388,0,6,Klaipėdos dirbtinės dangos st.,0.0
1.551546,11,9,LFF Kauno treniruočių centro st.,0.0
1.5516324,12,10,Marijampolės futbolo arenos maniežas,0.0
1.5516414,14,8,„Sportima“,0.0
1.5521364,6,8,LFF Kauno treniruočių centro st.,0.0
1.5521436,9,14,„Žemynos“ progimnazijos stadionas,1.0
1.55223,0,12,Klaipėdos dirbtinės dangos st.,1.0
1.5523326,10,11,„Sportima“,0.5
1.5526782,14,10,„Sportima“,0.5
1.5527484,11,0,LFF Kauno treniruočių centro st.,0.0
1.5527556,12,6,Marijampolės futbolo arenos maniežas,0.0
1.5528348,8,9,Klaipėdos dirbtinės dangos st.,0.5
1.5539508,0,14,Klaipėdos dirbtinės dangos st.,1.0
1.5539508,6,9,LFF Kauno treniruočių centro st.,0.0
1.5540516,11,12,LFF Kauno treniruočių centro st.,0.0
1.5542316,10,8,LFF stadionas,0.0
1.5545556,8,0,Klaipėdos dirbtinės dangos st.,0.0
1.55457,11,6,LFF Kauno treniruočių centro st.,1.0
1.5546564,9,10,„Žemynos“ progimnazijos stadionas,1.0
1.5546636,14,12,LFF stadionas,0.0
1.5551604,6,10,LFF Kauno treniruočių centro st.,0.0
1.5551766,11,14,LFF Kauno treniruočių centro st.,0.0
1.555254,0,9,Klaipėdos dirbtinės dangos st.,0.0
1.5552612,12,8,Marijampolės futbolo arenos stadionas,0.0
1.555695,9,12,„Žemynos“ progimnazijos stadionas,1.0
1.5557004,14,6,LFF stadionas,0.0
1.5557652,8,11,Klaipėdos dirbtinės dangos st.,0.0
1.5557724,10,0,LFF stadionas,0.5
1.55637,9,11,„Žemynos“ progimnazijos stadionas,0.5
1.5563772,8,14,Klaipėdos dirbtinės dangos st.,1.0
1.5563844,6,0,LFF Kauno treniruočių centro st.,0.0
1.5563952,10,12,LFF stadionas,1.0
1.5569892,11,10,LFF Kauno treniruočių centro st.,1.0
1.5570684,8,6,Klaipėdos dirbtinės dangos st.,1.0
1.5570756,12,0,Marijampolės futbolo arenos stadionas,0.0
1.5570828,14,9,LFF stadionas,0.0
1.5575796,10,14,LFF stadionas,0.0
1.5575868,6,12,LFF Kauno treniruočių centro st.,1.0
1.5576696,0,11,Klaipėdos m. centrinis stadionas,0.5
1.5576804,9,8,„Aukštaitijos“ stadionas,0.0
1.5581196,14,0,LFF stadionas,0.0
1.5581988,9,6,„Aukštaitijos“ stadionas,0.5
1.5582024,8,10,Palangos m. stadionas,1.0
1.558206,12,11,Marijampolės futbolo arenos stadionas,0.0
1.5584616,0,8,Klaipėdos m. centrinis stadionas,0.0
1.5584688,10,9,LFF stadionas,0.5
1.558548,6,11,„Kauno Žalgirio“ FA stadionas,0.0
1.5585552,12,14,Marijampolės futbolo arenos stadionas,0.0
1.5593292,14,11,LFF stadionas,0.0
1.5594084,8,12,Palangos m. stadionas,1.0
1.5594156,10,6,LFF stadionas,0.0
1.5594984,9,0,„Aukštaitijos“ stadionas,0.0
1.5605352,0,10,Klaipėdos m. centrinis stadionas,1.0
1.5605424,6,14,„Kauno Žalgirio“ FA stadionas,1.0
1.560618,11,8,LFF Kauno treniruočių centro st.,1.0
1.5606252,12,9,Marijampolės futbolo arenos stadionas,0.0
1.5612156,0,6,Klaipėdos m. centrinis stadionas,0.5
1.5612228,11,9,LFF Kauno treniruočių centro st.,1.0
1.56123,12,10,Marijampolės futbolo arenos stadionas,1.0
1.5613164,14,8,LFF stadionas,0.0
1.561824,9,14,„Aukštaitijos“ stadionas,1.0
1.5618312,6,8,„Kauno Žalgirio“ FA stadionas,0.0
1.5618348,12,0,Marijampolės futbolo arenos stadionas,0.0
1.5618384,10,11,LFF stadionas,0.0
1.562184,12,6,Marijampolės futbolo arenos stadionas,0.0
1.5622632,8,9,Palangos m. stadionas,1.0
1.5623532,14,10,LFF stadionas,0.0
1.5624324,11,0,LFF Kauno treniruočių centro st.,1.0
1.5648444,6,9,„Kauno Žalgirio“ FA stadionas,0.5
1.5648516,10,8,LFF stadionas,0.0
1.5648588,12,11,Marijampolės futbolo arenos stadionas,0.0
1.5649452,0,14,Klaipėdos m. centrinis stadionas,1.0
1.5654636,10,0,LFF stadionas,0.5
1.5655356,8,11,Palangos m. stadionas,0.0
1.56555,14,6,LFF stadionas,0.0
1.5656328,9,8,„Aukštaitijos“ stadionas,0.0
1.5660684,6,10,„Kauno Žalgirio“ FA stadionas,0.0
1.5661404,11,14,LFF Kauno treniruočių centro st.,1.0
1.5661476,0,9,Klaipėdos m. centrinis stadionas,1.0
1.5665832,9,10,„Aukštaitijos“ stadionas,0.0
1.566666,11,6,LFF Kauno treniruočių centro st.,1.0
1.566756,8,0,Palangos m. stadionas,1.0
1.5672636,8,14,Palangos m. stadionas,1.0
1.5672708,6,0,„Kauno Žalgirio“ FA stadionas,0.0
1.5673608,9,11,„Aukštaitijos“ stadionas,0.0
1.5684012,0,12,Klaipėdos m. centrinis stadionas,1.0
1.5684012,14,9,LFF stadionas,0.0
1.5684732,8,6,Palangos m. stadionas,1.0
1.5684804,11,10,LFF Kauno treniruočių centro st.,1.0
1.5690708,10,14,LFF stadionas,0.5
1.569078,6,12,„Kauno Žalgirio“ FA stadionas,1.0
1.5690924,0,11,Klaipėdos m. centrinis stadionas,0.0
1.569348,9,12,„Aukštaitijos“ stadionas,1.0
1.5694308,8,10,Palangos m. stadionas,1.0
1.5694344,11,12,LFF Kauno treniruočių centro st.,1.0
1.569438,14,0,LFF stadionas,0.0
1.5696936,9,6,„Aukštaitijos“ stadionas,0.5
1.570041,12,8,Marijampolės futbolo arenos stadionas,0.0
1.5702804,6,14,„Kauno Žalgirio“ FA stadionas,1.0
1.5702876,0,10,Klaipėdos m. centrinis stadionas,0.0
1.5702948,11,8,LFF Kauno treniruočių centro st.,1.0
1.570302,12,9,Marijampolės futbolo arenos stadionas,0.0
1.5708924,8,12,Palangos m. stadionas,1.0
1.5711678,10,12,LFF stadionas,1.0
1.57149,10,6,LFF stadionas,0.5
1.5715044,9,0,„Aukštaitijos“ stadionas,0.5
1.5715116,14,11,LFF stadionas,0.0
1.571598,14,12,LFF stadionas,1.0
1.5720948,10,9,LFF stadionas,0.0
1.5720948,0,8,Klaipėdos m. centrinis stadionas,1.0
1.5720948,12,14,Marijampolės futbolo arenos stadionas,0.0
1.5720948,6,11,„Kauno Žalgirio“ FA stadionas,0.0
1.5724584,12,0,Marijampolės futbolo arenos stadionas,0.0
1.572462,14,9,LFF stadionas,0.0
1.5725484,10,6,LFF stadionas,1.0
1.5728004,9,12,„Aukštaitijos“ stadionas,1.0
1.5728904,6,14,LFF Kauno treniruočių centro st.,1.0
1.572894,10,0,LFF stadionas,0.0
1.573236,0,9,Klaipėdos dirbtinės dangos st.,1.0
1.5732396,14,10,LFF stadionas,1.0
1.5733044,12,6,Marijampolės futbolo arenos stadionas,0.0
1.5744492,14,0,LFF stadionas,0.0
1.574514,6,9,LFF Kauno treniruočių centro st.,0.0
1.574514,10,12,LFF stadionas,0.0
1.5748812,0,6,Klaipėdos dirbtinės dangos st.,1.0
1.5748812,12,14,Marijampolės futbolo arenos stadionas,0.0
1.5748812,9,10,„Aukštaitijos“ stadionas,0.0
1.583523,14,9,„Sportima“,0.0
1.5836004,12,1,Marijampolės futbolo arenos maniežas,0.0
1.5836904,10,6,„Sportima“,1.0
1.5908508,14,10,LFF stadionas,1.0
1.590858,1,9,Gargždų m. stadionas,0.0
1.5910344,12,6,Marijampolės futbolo arenos stadionas,0.0
1.5914484,6,14,„Kauno Žalgirio“ FA stadionas,1.0
1.5914628,9,12,„Aukštaitijos“ stadionas,1.0
1.5915492,10,1,LFF stadionas,1.0
1.5920532,6,9,„Kauno Žalgirio“ FA stadionas,0.0
1.5920676,1,14,Gargždų m. stadionas,1.0
1.592154,10,12,LFF stadionas,1.0
1.5925932,10,9,LFF stadionas,0.5
1.5926724,1,6,Gargždų m. stadionas,0.5
1.5926796,12,14,Marijampolės futbolo arenos stadionas,0.5
1.593018,12,9,Marijampolės futbolo arenos stadionas,0.0
1.5930252,14,6,LFF stadionas,1.0
1.5930288,1,10,Gargždų m. stadionas,0.5
1.5933564,6,12,„Kauno Žalgirio“ FA stadionas,1.0
1.5933636,10,14,LFF stadionas,1.0
1.5933708,9,1,„Aukštaitijos“ stadionas,0.0
1.5937992,14,1,LFF stadionas,0.5
1.5938064,9,6,„Aukštaitijos“ stadionas,1.0
1.5938892,12,10,Marijampolės futbolo arenos stadionas,0.0
1.5944796,6,1,„Kauno Žalgirio“ FA stadionas,0.0
1.5944904,9,10,„Aukštaitijos“ stadionas,0.0
1.5945732,14,12,LFF stadionas,0.0
1.5950772,6,10,„Kauno Žalgirio“ FA stadionas,0.0
1.595178,9,14,„Aukštaitijos“ stadionas,1.0
1.5951852,1,12,Gargždų m. stadionas,1.0
1.5955272,6,9,„Kauno Žalgirio“ FA stadionas,0.0
1.5955308,12,1,Marijampolės futbolo arenos stadionas,0.5
1.5955344,14,10,LFF stadionas,0.0
1.5959592,6,1,„Kauno Žalgirio“ FA stadionas,1.0
1.5959628,9,14,„Aukštaitijos“ stadionas,1.0
1.5959664,10,12,LFF stadionas,1.0
1.5963012,1,10,Gargždų m. stadionas,0.5
1.5963876,12,9,Marijampolės futbolo arenos stadionas,0.0
1.5963948,14,6,LFF stadionas,0.0
1.5968232,14,1,LFF stadionas,0.0
1.5968304,6,12,„Kauno Žalgirio“ FA stadionas,0.0
1.596906,9,10,„Aukštaitijos“ stadionas,0.5
1.5972588,12,14,Marijampolės futbolo arenos stadionas,0.0
1.5974316,10,6,LFF stadionas,1.0
1.5975972,1,9,Gargždų m. stadionas,0.5
1.5979464,9,6,„Aukštaitijos“ stadionas,1.0
1.5979536,10,14,LFF stadionas,0.5
1.6012188,1,6,Gargždų m. stadionas,1.0
1.601226,14,9,LFF stadionas,0.0
1.6012332,12,10,Marijampolės futbolo arenos stadionas,0.0
1.6016652,10,1,LFF stadionas,0.0
1.6017372,6,14,„Kauno Žalgirio“ FA stadionas,1.0
1.6017444,9,12,„Aukštaitijos“ stadionas,0.5
1.6023492,1,12,Gargždų m. stadionas,1.0
1.6032168,1,14,Gargždų m. stadionas,1.0
1.603224,12,6,Marijampolės futbolo arenos stadionas,0.5
1.6039098,10,9,LFF stadionas,0.5
1.6041636,9,1,„Aukštaitijos“ stadionas,0.5
1.6041636,6,10,LFF Kauno treniruočių centro st.,0.0
1.605366,14,12,LFF stadionas,0.0
1.6149672,6,1,Marijampolės futbolo arenos maniežas,0.0
1.6150356,3,4,„Ateities“ progimnazijos stadionas,0.0
1.6150428,2,7,Marijampolės futbolo arenos maniežas,1.0
1.6151292,12,9,Marijampolės futbolo arenos maniežas,1.0
1.615572,12,4,Marijampolės futbolo arenos maniežas,0.0
1.6156476,14,2,„Sportima“,0.5
1.6157268,6,7,Marijampolės futbolo arenos maniežas,0.0
1.615734,9,3,„Žemynos“ progimnazijos stadionas,0.0
1.615914,14,10,„Sportima“,0.0
1.6161768,12,7,Marijampolės futbolo arenos maniežas,0.0
1.6162452,6,10,Marijampolės futbolo arenos maniežas,0.0
1.6162524,9,1,„Žemynos“ progimnazijos stadionas,0.0
1.6162668,14,4,„Sportima“,0.0
1.6163388,2,3,Marijampolės futbolo arenos maniežas,0.5
1.6173828,4,7,LFF Kauno treniruočių centro st.,0.0
1.6173864,10,2,LFF stadionas,0.5
1.6173936,1,12,Gargždų m. stadionas,1.0
1.6174656,3,6,„Ateities“ progimnazijos stadionas,0.5
1.6178184,12,6,Marijampolės futbolo arenos maniežas,0.0
1.6178256,14,1,LFF stadionas,0.0
1.6179012,3,7,„Ateities“ progimnazijos stadionas,0.0
1.6179048,4,10,LFF Kauno treniruočių centro st.,0.0
1.6179912,2,9,Marijampolės futbolo arenos maniežas,1.0
1.6181532,6,14,Marijampolės futbolo arenos maniežas,1.0
1.6182504,12,3,Marijampolės futbolo arenos maniežas,0.0
1.6182576,10,7,LFF stadionas,0.0
1.6183332,9,4,„Žemynos“ progimnazijos stadionas,0.5
1.6183404,1,2,Gargždų m. stadionas,0.0
1.6185924,3,10,„Ateities“ progimnazijos stadionas,1.0
1.618596,14,12,LFF stadionas,1.0
1.6186032,2,6,Marijampolės futbolo arenos maniežas,1.0
1.6186644,9,7,„Žemynos“ progimnazijos stadionas,0.0
1.6186716,4,1,LFF Kauno treniruočių centro st.,1.0
1.618938,14,3,LFF stadionas,0.5
1.6189452,12,2,Marijampolės futbolo arenos maniežas,0.0
1.6189524,10,9,LFF stadionas,0.0
1.619028,4,6,LFF Kauno treniruočių centro st.,1.0
1.6190352,1,7,Gargždų m. stadionas,0.0
1.6192008,10,14,LFF stadionas,0.5
1.6192836,4,3,LFF Kauno treniruočių centro st.,0.5
1.6192908,7,2,Kėdainių centrinis stadionas,1.0
1.6193556,1,6,Gargždų m. stadionas,1.0
1.6193628,9,12,„Žemynos“ progimnazijos stadionas,0.5
1.6197156,3,9,„Ateities“ progimnazijos stadionas,1.0
1.6197192,7,6,Kėdainių centrinis stadionas,1.0
1.6197228,1,10,Gargždų m. stadionas,1.0
1.619802,4,12,LFF Kauno treniruočių centro st.,1.0
1.6198056,14,2,LFF stadionas,0.0
1.6200612,3,1,„Ateities“ progimnazijos stadionas,0.5
1.6200648,9,6,„Žemynos“ progimnazijos stadionas,0.0
1.6201512,4,2,LFF Kauno treniruočių centro st.,1.0
1.6201584,7,14,Kėdainių centrinis stadionas,1.0
1.6202376,12,10,Marijampolės futbolo arenos maniežas,0.0
1.6204104,1,9,Gargždų m. stadionas,0.5
1.6204788,4,14,LFF Kauno treniruočių centro st.,0.0
1.620486,3,2,„Ateities“ progimnazijos stadionas,1.0
1.6205652,10,6,LFF stadionas,1.0
1.6205868,7,12,Kėdainių centrinis stadionas,1.0
